Lemma_1,Lemma_2,Type,isCognate
дорожный,исполненный ,Неоднокоренные (разные корни),0
придорожный,переполненный,Неоднокоренные (разные корни),0
дорогой,красный,Неоднокоренные (разные корни),0
вымирать,покрасить,Неоднокоренные (разные корни),0
ножны,покраснение,Неоднокоренные (разные корни),0
ножка,краснеть,Неоднокоренные (разные корни),0
положить,краска,Неоднокоренные (разные корни),0
выложить,краснуха,Неоднокоренные (разные корни),0
ложь,покраснение,Неоднокоренные (разные корни),0
лгать,пах ,Неоднокоренные (разные корни),0
тереть,пахучесть,Неоднокоренные (разные корни),0
истертый,пахота,Неоднокоренные (разные корни),0
умирать,плавать,Неоднокоренные (разные корни),0
дорогой,плавание,Неоднокоренные (разные корни),0
умирающий,пловец,Неоднокоренные (разные корни),0
помереть,переплавить,Неоднокоренные (разные корни),0
вымереть,плавление,Неоднокоренные (разные корни),0
дорогой,выплавка,Неоднокоренные (разные корни),0
дорога,бурить,Неоднокоренные (разные корни),0
подорожать,бурный,Неоднокоренные (разные корни),0
потеря,переносица,Неоднокоренные (разные корни),0
терять,носатый,Неоднокоренные (разные корни),0
ноги,носик,Неоднокоренные (разные корни),0
безногий,переносица,Неоднокоренные (разные корни),0
ложь,носильщик,Неоднокоренные (разные корни),0
ложь,переноска,Неоднокоренные (разные корни),0
лжец,носильщик,Неоднокоренные (разные корни),0
вскакать,переносной,Неоднокоренные (разные корни),0
выскакать,переносной,Неоднокоренные (разные корни),0
перескакивать,горящий,Неоднокоренные (разные корни),0
подскакать,гореть,Неоднокоренные (разные корни),0
отскакивать,горе,Неоднокоренные (разные корни),0
ускакал,горевать,Неоднокоренные (разные корни),0
проскакивать,горюющий,Неоднокоренные (разные корни),0
прискакать,горный,Неоднокоренные (разные корни),0
обскакать,пригорок,Неоднокоренные (разные корни),0
приклонить,мирный,Неоднокоренные (разные корни),0
склонение,мировой,Неоднокоренные (разные корни),0
поклон,мир,Неоднокоренные (разные корни),0
клонить,умирающий,Неоднокоренные (разные корни),0
распахиваться,умерший,Неоднокоренные (разные корни),0
распахивать,подорожник,Неоднокоренные (разные корни),0
бегать,подорожник,Неоднокоренные (разные корни),0
разбегаться,дорого,Неоднокоренные (разные корни),0
бегущий,ножевой,Неоднокоренные (разные корни),0
перебегать,ножны,Неоднокоренные (разные корни),0
разбегаться,ножевой,Неоднокоренные (разные корни),0
перебегать,ножной,Неоднокоренные (разные корни),0
бегущий,отложенный,Неоднокоренные (разные корни),0
гореть,отложить,Неоднокоренные (разные корни),0
горелый,ложный,Неоднокоренные (разные корни),0
загорать,лгун,Неоднокоренные (разные корни),0
огарки,потертый,Неоднокоренные (разные корни),0
разгар,вытереть,Неоднокоренные (разные корни),0
угар,дорогой,Неоднокоренные (разные корни),0
выгорание,ножка,Неоднокоренные (разные корни),0
выгорание,нога,Неоднокоренные (разные корни),0
горелый,ножной,Неоднокоренные (разные корни),0
разгар,нога,Неоднокоренные (разные корни),0
гореть,ножной,Неоднокоренные (разные корни),0
полагать,ножка,Неоднокоренные (разные корни),0
предлагать,зорька,Неоднокоренные (разные корни),0
предположение,зоревой,Неоднокоренные (разные корни),0
изложить,зорька,Неоднокоренные (разные корни),0
возложенный,зачет,Неоднокоренные (разные корни),0
расположиться,вычет,Неоднокоренные (разные корни),0
прилагать,зачтенный,Неоднокоренные (разные корни),0
выкрасить,вычесть,Неоднокоренные (разные корни),0
краска,подсчёт,Неоднокоренные (разные корни),0
красить,вычет,Неоднокоренные (разные корни),0
вытирать,зачет,Неоднокоренные (разные корни),0
растираю,зачтенный,Неоднокоренные (разные корни),0
стереть,вычесть,Неоднокоренные (разные корни),0
отлет,подсчёт,Неоднокоренные (разные корни),0
лето,пир,Неоднокоренные (разные корни),0
сдирать,розжиг,Неоднокоренные (разные корни),0
разодравши,сжигаете,Неоднокоренные (разные корни),0
выдирать,зажигалка,Неоднокоренные (разные корни),0
вздирать,сжигает,Неоднокоренные (разные корни),0
блистать,зори,Неоднокоренные (разные корни),0
блёстка,зоревать,Неоднокоренные (разные корни),0
подрос,зоревой,Неоднокоренные (разные корни),0
соберу,зоренька,Неоднокоренные (разные корни),0
выберу,зорька,Неоднокоренные (разные корни),0
убирать,коса,Неоднокоренные (разные корни),0
макнуть,касание,Неоднокоренные (разные корни),0
макнувший,прикосновение,Неоднокоренные (разные корни),0
маковый,коснувшийся,Неоднокоренные (разные корни),0
медный,коснулся,Неоднокоренные (разные корни),0
медовый,соприкосновение,Неоднокоренные (разные корни),0
косить,растение,Неоднокоренные (разные корни),0
прикосновение,расти,Неоднокоренные (разные корни),0
краснеть,заросли,Неоднокоренные (разные корни),0
покраснение,вырасти,Неоднокоренные (разные корни),0
красненький,сплав,Неоднокоренные (разные корни),0
вода,водить,Неоднокоренные (омонимы),0
водный,водитель,Неоднокоренные (омонимы),0
приводниться,водительский,Неоднокоренные (омонимы),0
подводный,водивший,Неоднокоренные (омонимы),0
водяной,водительский,Неоднокоренные (омонимы),0
вода,водитель,Неоднокоренные (омонимы),0
сыр,сырость,Неоднокоренные (омонимы),0
сырный,сырой,Неоднокоренные (омонимы),0
сырок,отсыреть,Неоднокоренные (омонимы),0
сыр,сырой,Неоднокоренные (омонимы),0
сырный,отсыреть,Неоднокоренные (омонимы),0
сырок,сырость,Неоднокоренные (омонимы),0
зябь,озябнуть,Неоднокоренные (омонимы),0
зябь,зябко,Неоднокоренные (омонимы),0
зябь,озябший,Неоднокоренные (омонимы),0
красить,красивый,Неоднокоренные (омонимы),0
краска,красота,Неоднокоренные (омонимы),0
окрасить,красавица,Неоднокоренные (омонимы),0
покрасить,красавец,Неоднокоренные (омонимы),0
покрашенный,красивый,Неоднокоренные (омонимы),0
закрасить,красота,Неоднокоренные (омонимы),0
любой,любовь,Неоднокоренные (омонимы),0
сырный,сырость,Неоднокоренные (омонимы),0
любой,любить,Неоднокоренные (омонимы),0
море,мор,Неоднокоренные (омонимы),0
любой,полюбовно,Неоднокоренные (омонимы),0
морской,измор,Неоднокоренные (омонимы),0
бурить,буря,Неоднокоренные (омонимы),0
буровой,бурный,Неоднокоренные (омонимы),0
бур,бурый,Неоднокоренные (омонимы),0
бурящий,буря,Неоднокоренные (омонимы),0
бурый,бурить,Неоднокоренные (омонимы),0
бурый,буровой,Неоднокоренные (омонимы),0
нос,носить,Неоднокоренные (омонимы),0
переносица,выносить,Неоднокоренные (омонимы),0
носик,заносить,Неоднокоренные (омонимы),0
носатый,носильщик,Неоднокоренные (омонимы),0
нос,носильщик,Неоднокоренные (омонимы),0
носатый,относить,Неоднокоренные (омонимы),0
гореть,горе,Неоднокоренные (омонимы),0
гореть,гора,Неоднокоренные (омонимы),0
горящий,горевать,Неоднокоренные (омонимы),0
сгоревший,гора,Неоднокоренные (омонимы),0
горе,горный,Неоднокоренные (омонимы),0
гористый,сгорающий,Неоднокоренные (омонимы),0
пригорок,горе,Неоднокоренные (омонимы),0
пригорок,гореть,Неоднокоренные (омонимы),0
мир,умирать,Неоднокоренные (омонимы),0
мирный,умирающий,Неоднокоренные (омонимы),0
мировой,умирать,Неоднокоренные (омонимы),0
примирение,умирающий,Неоднокоренные (омонимы),0
мир,умирающий,Неоднокоренные (омонимы),0
мирный,умирать,Неоднокоренные (омонимы),0
замереть,умерший,Неоднокоренные (омонимы),0
замирать,мириться,Неоднокоренные (омонимы),0
дорога,дорогой,Неоднокоренные (омонимы),0
дорожный,дорого,Неоднокоренные (омонимы),0
подорожник,дорожать,Неоднокоренные (омонимы),0
придорожный,дорогой,Неоднокоренные (омонимы),0
нож,ножка,Неоднокоренные (омонимы),0
ножны,нога,Неоднокоренные (омонимы),0
ножевой,ножной,Неоднокоренные (омонимы),0
нож,нога,Неоднокоренные (омонимы),0
ножны,ножной,Неоднокоренные (омонимы),0
ножевой,ножка,Неоднокоренные (омонимы),0
положить,ложный,Неоднокоренные (омонимы),0
отложить,ложь,Неоднокоренные (омонимы),0
выложить,лжец,Неоднокоренные (омонимы),0
положивший,лгать,Неоднокоренные (омонимы),0
отложить,ложный,Неоднокоренные (омонимы),0
положенный,ложь,Неоднокоренные (омонимы),0
тереть,терять,Неоднокоренные (омонимы),0
потертый,потеря,Неоднокоренные (омонимы),0
затертый,утерять,Неоднокоренные (омонимы),0
потереть,потерять,Неоднокоренные (омонимы),0
вытереть,затеряться,Неоднокоренные (омонимы),0
истертый,потерять,Неоднокоренные (омонимы),0
запирать,пировать,Неоднокоренные (омонимы),0
отпирать,пир,Неоднокоренные (омонимы),0
запирать,пиршество,Неоднокоренные (омонимы),0
отпирать,пирующий,Неоднокоренные (омонимы),0
застилать,стиль,Неоднокоренные (омонимы),0
застилающий,стильный,Неоднокоренные (омонимы),0
стелить,стилизация,Неоднокоренные (омонимы),0
макать,мак,Неоднокоренные (омонимы),0
макнуть,маковый,Неоднокоренные (омонимы),0
макнувший,мак,Неоднокоренные (омонимы),0
промакивать,маковый,Неоднокоренные (омонимы),0
медовый,медный,Неоднокоренные (омонимы),0
мед,медь,Неоднокоренные (омонимы),0
коснуться,косить,Неоднокоренные (омонимы),0
прикосновение,коса,Неоднокоренные (омонимы),0
соприкосновение,покос,Неоднокоренные (омонимы),0
коснуться,скошенный,Неоднокоренные (омонимы),0
речка,речевой,Неоднокоренные (омонимы),0
речь,речной,Неоднокоренные (омонимы),0
изречение,речушка,Неоднокоренные (омонимы),0
изречь,речка,Неоднокоренные (омонимы),0
лето,лететь,Неоднокоренные (омонимы),0
летчик,летний,Неоднокоренные (омонимы),0
летовать,летать,Неоднокоренные (омонимы),0
морской,мор,Неоднокоренные (омонимы),0
моряк,выморить,Неоднокоренные (омонимы),0
море,измор,Неоднокоренные (омонимы),0
морской,выморенный,Неоднокоренные (омонимы),0
приморье,выморить,Неоднокоренные (омонимы),0
пар,пара,Неоднокоренные (омонимы),0
парилка,парный,Неоднокоренные (омонимы),0
попарно,выпаривать,Неоднокоренные (омонимы),0
парочка,испарительный,Неоднокоренные (омонимы),0
спаривать,парник,Неоднокоренные (омонимы),0
непарный,парить,Неоднокоренные (омонимы),0
спаривание,отпарить,Неоднокоренные (омонимы),0
запах,пропахать,Неоднокоренные (омонимы),0
впахивать,пахнуть,Неоднокоренные (омонимы),0
запашок,перепаханный,Неоднокоренные (омонимы),0
вспахнутый,распахнуть,Неоднокоренные (омонимы),0
пахучесть,запахнуть,Неоднокоренные (омонимы),0
полный ,выполнить,Неоднокоренные (омонимы),0
заполнить,исполнить,Неоднокоренные (омонимы),0
полнота,невыполнимый,Неоднокоренные (омонимы),0
перевыполнить,переполненный,Неоднокоренные (омонимы),0
исполненный ,полный,Неоднокоренные (омонимы),0
переполненный,исполнять,Неоднокоренные (омонимы),0
красный,красивый,Неоднокоренные (омонимы),0
покрасить,краснота,Неоднокоренные (омонимы),0
покраснение,краска,Неоднокоренные (омонимы),0
краснеть,красавец,Неоднокоренные (омонимы),0
краска,красный,Неоднокоренные (омонимы),0
краснуха,красавица,Неоднокоренные (омонимы),0
покраснение,краситель,Неоднокоренные (омонимы),0
пах ,запах ,Неоднокоренные (омонимы),0
пахучесть,паховая,Неоднокоренные (омонимы),0
пахота,паховая,Неоднокоренные (омонимы),0
плавать,плавить,Неоднокоренные (омонимы),0
плавание,сплав,Неоднокоренные (омонимы),0
пловец,плов,Неоднокоренные (омонимы),0
переплавить,плавать,Неоднокоренные (омонимы),0
плавление,плавание,Неоднокоренные (омонимы),0
выплавка,плавающий,Неоднокоренные (омонимы),0
вода,водный,Однокоренные (совпадение),1
вода,водяной,Однокоренные (совпадение),1
водный,приводниться,Однокоренные (совпадение),1
водить,водитель,Однокоренные (совпадение),1
водивший,водительский,Однокоренные (совпадение),1
водитель,водивший,Однокоренные (совпадение),1
сыр,сырный,Однокоренные (совпадение),1
сыр,сырок,Однокоренные (совпадение),1
сырок,сырный,Однокоренные (совпадение),1
сырой,отсыревать,Однокоренные (совпадение),1
сырость,сырой,Однокоренные (совпадение),1
отсыревать,отсыреть,Однокоренные (совпадение),1
озябнуть,зябко,Однокоренные (совпадение),1
зябко,озябший,Однокоренные (совпадение),1
красить,краска,Однокоренные (совпадение),1
краска,покрасить,Однокоренные (совпадение),1
выкрашенный,окрашивание,Однокоренные (совпадение),1
покрашенный,закрашивать,Однокоренные (совпадение),1
красивый,красавица,Однокоренные (совпадение),1
красавец,красота,Однокоренные (совпадение),1
красивый,красотка,Однокоренные (совпадение),1
любимый,влюбиться,Однокоренные (совпадение),1
любовь,любовник,Однокоренные (совпадение),1
любить,любящий,Однокоренные (совпадение),1
любовник,любить,Однокоренные (совпадение),1
полюбовно,любовь,Однокоренные (совпадение),1
разлюбивший,любовник,Однокоренные (совпадение),1
бур,буровой,Однокоренные (совпадение),1
бурить,буровой,Однокоренные (совпадение),1
бур,бурить,Однокоренные (совпадение),1
буря,бурный,Однокоренные (совпадение),1
нос,переносица,Однокоренные (совпадение),1
носик,носатый,Однокоренные (совпадение),1
нос,носик,Однокоренные (совпадение),1
носатый,переносица,Однокоренные (совпадение),1
носить,носильщик,Однокоренные (совпадение),1
носить,переноска,Однокоренные (совпадение),1
выносить,носильщик,Однокоренные (совпадение),1
относить,переносной,Однокоренные (совпадение),1
носильщик,переносной,Однокоренные (совпадение),1
гореть,горящий,Однокоренные (совпадение),1
сгоревший,гореть,Однокоренные (совпадение),1
горевать,горе,Однокоренные (совпадение),1
горюющий,горевать,Однокоренные (совпадение),1
горе,горюющий,Однокоренные (совпадение),1
гора,горный,Однокоренные (совпадение),1
гора,пригорок,Однокоренные (совпадение),1
мир,мирный,Однокоренные (совпадение),1
мир,мировой,Однокоренные (совпадение),1
примирение,мир,Однокоренные (совпадение),1
умирать,умирающий,Однокоренные (совпадение),1
умереть,умерший,Однокоренные (совпадение),1
дорожный,подорожник,Однокоренные (совпадение),1
придорожный,подорожник,Однокоренные (совпадение),1
дорогой,дорого,Однокоренные (совпадение),1
нож,ножевой,Однокоренные (совпадение),1
нож,ножны,Однокоренные (совпадение),1
ножны,ножевой,Однокоренные (совпадение),1
ножка,ножной,Однокоренные (совпадение),1
положить,отложенный,Однокоренные (совпадение),1
выложить,отложить,Однокоренные (совпадение),1
ложь,ложный,Однокоренные (совпадение),1
лгать,лгун,Однокоренные (совпадение),1
тереть,потертый,Однокоренные (совпадение),1
истертый,вытереть,Однокоренные (совпадение),1
терять,потеря,Однокоренные (совпадение),1
утерянный,терять,Однокоренные (совпадение),1
потерять,затеряться,Однокоренные (совпадение),1
вытереть,истертый,Однокоренные (совпадение),1
тереть,вытертый,Однокоренные (совпадение),1
пир,пировать,Однокоренные (совпадение),1
пир,пиршество,Однокоренные (совпадение),1
пир,пирующий,Однокоренные (совпадение),1
пиршество,пировать,Однокоренные (совпадение),1
стильный,стилизация,Однокоренные (совпадение),1
стиль,стильный,Однокоренные (совпадение),1
стиль,стилизация,Однокоренные (совпадение),1
макать,макнуть,Однокоренные (совпадение),1
макать,макнувший,Однокоренные (совпадение),1
мак,маковый,Однокоренные (совпадение),1
медь,медный,Однокоренные (совпадение),1
мед,медовый,Однокоренные (совпадение),1
коса,косить,Однокоренные (совпадение),1
коснуться,прикосновение,Однокоренные (совпадение),1
красный,краснеть,Однокоренные (совпадение),1
краснота,покраснение,Однокоренные (совпадение),1
красноватый,красненький,Однокоренные (совпадение),1
речь,речевой,Однокоренные (совпадение),1
реченька,речка,Однокоренные (совпадение),1
речной,речушка,Однокоренные (совпадение),1
летчик,летать,Однокоренные (совпадение),1
взлет,летучий,Однокоренные (совпадение),1
вылетание,прилететь,Однокоренные (совпадение),1
перелет,залететь,Однокоренные (совпадение),1
нелетный,отлет,Однокоренные (совпадение),1
летний ,лето,Однокоренные (совпадение),1
летовать,лето,Однокоренные (совпадение),1
море,морской,Однокоренные (совпадение),1
моряк,приморье,Однокоренные (совпадение),1
морячка,приморский,Однокоренные (совпадение),1
приморье,моряцкий,Однокоренные (совпадение),1
морюшко,заморский,Однокоренные (совпадение),1
мор ,морильня,Однокоренные (совпадение),1
поморить,сморить,Однокоренные (совпадение),1
выморить,выморенный,Однокоренные (совпадение),1
измориться,заморенный,Однокоренные (совпадение),1
распариваться,выпарываться,Однокоренные (совпадение),1
пропаренный,припариваться,Однокоренные (совпадение),1
выпаренный,парник,Однокоренные (совпадение),1
запаренный,испаряться,Однокоренные (совпадение),1
парниковый,испарительный,Однокоренные (совпадение),1
выпариться,пар,Однокоренные (совпадение),1
распариться,парилка,Однокоренные (совпадение),1
отпарить,парить,Однокоренные (совпадение),1
выпаривание,испаряться,Однокоренные (совпадение),1
попарно,пара,Однокоренные (совпадение),1
непарный,парочка,Однокоренные (совпадение),1
попарно,спаривать,Однокоренные (совпадение),1
парный,спаривание,Однокоренные (совпадение),1
запах,пахнуть,Однокоренные (совпадение),1
пахучесть,пропахнуть,Однокоренные (совпадение),1
запашок,попахивать,Однокоренные (совпадение),1
пахучий,пахнет,Однокоренные (совпадение),1
пахнуть,запахло,Однокоренные (совпадение),1
пахнущий,пропахла,Однокоренные (совпадение),1
пахнуть,запахнешь,Однокоренные (совпадение),1
вспашка,вспахивать,Однокоренные (совпадение),1
пахать,пропахать,Однокоренные (совпадение),1
вспахивание,пропаханный,Однокоренные (совпадение),1
перепахать,перепаханный,Однокоренные (совпадение),1
напахать,спаханный,Однокоренные (совпадение),1
паханый,пропахивать,Однокоренные (совпадение),1
паховая,пах,Однокоренные (совпадение),1
распахнуть,запахнуть,Однокоренные (совпадение),1
заполняться,полниться,Однокоренные (совпадение),1
заполненный,наполняться,Однокоренные (совпадение),1
дополниться,заполнять,Однокоренные (совпадение),1
незаполненный,наполняемость,Однокоренные (совпадение),1
выполнить,перевыполнить,Однокоренные (совпадение),1
невыполнимый,исполнять,Однокоренные (совпадение),1
загар,гореть,Однокоренные (чередование),1
гарь,горелый,Однокоренные (чередование),1
нагар,загорать,Однокоренные (чередование),1
подгореть,огарки,Однокоренные (чередование),1
обгорать,разгар,Однокоренные (чередование),1
горелый,угар,Однокоренные (чередование),1
перегар,выгорание,Однокоренные (чередование),1
гарь,выгорание,Однокоренные (чередование),1
нагар,горелый,Однокоренные (чередование),1
горелый,разгар,Однокоренные (чередование),1
перегар,гореть,Однокоренные (чередование),1
положить,полагать,Однокоренные (чередование),1
предложить,предлагать,Однокоренные (чередование),1
предполагать,предположение,Однокоренные (чередование),1
излагать,изложить,Однокоренные (чередование),1
возлагаемый,возложенный,Однокоренные (чередование),1
распологаться,расположиться,Однокоренные (чередование),1
изложение,прилагать,Однокоренные (чередование),1
закрашивать,выкрасить,Однокоренные (чередование),1
окрашивание,краска,Однокоренные (чередование),1
покрашенный,красить,Однокоренные (чередование),1
вытер,вытирать,Однокоренные (чередование),1
растереть,растираю,Однокоренные (чередование),1
стирать,стереть,Однокоренные (чередование),1
обтереть,обтирать,Однокоренные (чередование),1
запирать,запереть,Однокоренные (чередование),1
отпирать,отпереть,Однокоренные (чередование),1
застелить,застилать,Однокоренные (чередование),1
расстилать,расстелить,Однокоренные (чередование),1
настелить,настилать,Однокоренные (чередование),1
подстилать,подстелить,Однокоренные (чередование),1
подстилать,застилать,Однокоренные (чередование),1
настелить,расстелить,Однокоренные (чередование),1
расстилать,подстелить,Однокоренные (чередование),1
принес,приносить,Однокоренные (чередование),1
носить,перенести,Однокоренные (чередование),1
принес,приносить,Однокоренные (чередование),1
унести,уносить,Однокоренные (чередование),1
принести,проносить,Однокоренные (чередование),1
умирать,умерший,Однокоренные (чередование),1
замирать,замер,Однокоренные (чередование),1
обмереть,обмирать,Однокоренные (чередование),1
умирать,умереть,Однокоренные (чередование),1
умирать,умерший,Однокоренные (чередование),1
умирающий,умереть,Однокоренные (чередование),1
помереть,умирать,Однокоренные (чередование),1
вымереть,вымирать,Однокоренные (чередование),1
дорогой,дорожать,Однокоренные (чередование),1
дорога,дорожный,Однокоренные (чередование),1
подорожать,дороговизна,Однокоренные (чередование),1
нога,ножной,Однокоренные (чередование),1
нога,ножка,Однокоренные (чередование),1
ноги,ножище,Однокоренные (чередование),1
безногий,ноженька,Однокоренные (чередование),1
ложь,лжец,Однокоренные (чередование),1
ложь,лгать,Однокоренные (чередование),1
лжец,лгун,Однокоренные (чередование),1
вскакать,вприскочку,Однокоренные (чередование),1
выскакать,вскочить,Однокоренные (чередование),1
перескакивать,выскочить,Однокоренные (чередование),1
подскакать,выскочка,Однокоренные (чередование),1
отскакивать,проскочивший,Однокоренные (чередование),1
ускакал,проскочил,Однокоренные (чередование),1
проскакивать,заскочить,Однокоренные (чередование),1
прискакать,подскочил,Однокоренные (чередование),1
обскакать,соскочить,Однокоренные (чередование),1
приклонить,прикланяться,Однокоренные (чередование),1
склонение,кланяться,Однокоренные (чередование),1
поклон,покланяться,Однокоренные (чередование),1
клонить,раскланиваться,Однокоренные (чередование),1
поклонение,кланяясь,Однокоренные (чередование),1
уклончивость,откланяться,Однокоренные (чередование),1
преклонялись,кланялась,Однокоренные (чередование),1
стелить,застилать,Однокоренные (чередование),1
пловец,плавающий,Однокоренные (чередование),1
пловец,поплавок,Однокоренные (чередование),1
плавание,заплыть,Однокоренные (чередование),1
проплыть,плавать,Однокоренные (чередование),1
пловцы,плавающий,Однокоренные (чередование),1
заплыв,пловчиха,Однокоренные (чередование),1
плыть,плавать,Однокоренные (чередование),1
заплыв,плавающий,Однокоренные (чередование),1
коса,скошенный,Однокоренные (чередование),1
касание,коснуться,Однокоренные (чередование),1
прикосновение,касательная,Однокоренные (чередование),1
коснувшийся,соприкасаться,Однокоренные (чередование),1
коснулся,касался,Однокоренные (чередование),1
соприкосновение,касается,Однокоренные (чередование),1
растение,росток,Однокоренные (чередование),1
расти,выращенный,Однокоренные (чередование),1
заросли,выращивать,Однокоренные (чередование),1
вырасти,подрос,Однокоренные (чередование),1
собирать,соберу,Однокоренные (чередование),1
выбирать,выберу,Однокоренные (чередование),1
уберу,убирать,Однокоренные (чередование),1
заберем,собирательный,Однокоренные (чередование),1
отбирать,отберу,Однокоренные (чередование),1
перебирать,переберу,Однокоренные (чередование),1
раздерут,раздирать,Однокоренные (чередование),1
сдирать,сдеру,Однокоренные (чередование),1
разодравши,выдернуть,Однокоренные (чередование),1
выдирать,удирать,Однокоренные (чередование),1
вздирать,вздернуть,Однокоренные (чередование),1
блистать,блестеть,Однокоренные (чередование),1
блёстка,блистание,Однокоренные (чередование),1
блестящий,блистательный,Однокоренные (чередование),1
заблестеть,поблистать,Однокоренные (чередование),1
заблестевшие,блистательно,Однокоренные (чередование),1
выжегший,возжигать,Однокоренные (чередование),1
разжёгший,возжигание,Однокоренные (чередование),1
прожёг,розжиг,Однокоренные (чередование),1
зажёгший,сжигаете,Однокоренные (чередование),1
обжёгшийся,зажигалка,Однокоренные (чередование),1
сжёгший,сжигает,Однокоренные (чередование),1
заря,зори,Однокоренные (чередование),1
озарялась,зоревать,Однокоренные (чередование),1
зарево,зоревой,Однокоренные (чередование),1
озарять,зоренька,Однокоренные (чередование),1
зарница,зорька,Однокоренные (чередование),1
заря,зоревой,Однокоренные (чередование),1
озарялась,зорька,Однокоренные (чередование),1
подсчитать,зачет,Однокоренные (чередование),1
вычитать,вычет,Однокоренные (чередование),1
посчитать,зачтенный,Однокоренные (чередование),1
вычитать,вычесть,Однокоренные (чередование),1
подсчитать,подсчёт,Однокоренные (чередование),1
посчитать,вычет,Однокоренные (чередование),1
вычитать,зачет,Однокоренные (чередование),1
вычитать,зачтенный,Однокоренные (чередование),1
подсчитать,вычесть,Однокоренные (чередование),1
посчитать,подсчёт,Однокоренные (чередование),1
распахиваться,распашной,Однокоренные (чередование),1
распахивать,распашонка,Однокоренные (чередование),1
бегать,бежать,Однокоренные (чередование),1
разбегаться,разбежаться,Однокоренные (чередование),1
бегущий,пробежка,Однокоренные (чередование),1
перебегать,перебежать,Однокоренные (чередование),1
разбегаться,пробежка,Однокоренные (чередование),1
перебегать,бежать,Однокоренные (чередование),1
бегущий,разбежаться,Однокоренные (чередование),1
вода,жидкость,Синонимы,0
коса,хвост,Синонимы,0
зябь,поле,Синонимы,0
нож,кинжал,Синонимы,0
буря,метель,Синонимы,0
горе,беда,Синонимы,0
горе,трагедия,Синонимы,0
гореть,пылать,Синонимы,0
ложь,неправда,Синонимы,0
лжец,обманщик,Синонимы,0
вранье,обман,Синонимы,0
врать,лгать,Синонимы,0
обмануть,наврать,Синонимы,0
стильный,модный,Синонимы,0
пригорок,холм,Синонимы,0
пиршество,торжество,Синонимы,0
пир,застолье,Синонимы,0
моряк,матрос,Синонимы,0
летчик,пилот,Синонимы,0
любой,всякий,Синонимы,0
гора,скала,Синонимы,0
зябко,холодно,Синонимы,0
зябко,промозгло,Синонимы,0
дорогой,ценный,Синонимы,0
запах,аромат,Синонимы,0
поклон,реверанс,Синонимы,0
заря,рассвет,Синонимы,0
росток,побег,Синонимы,0
отросток,стебель,Синонимы,0
популярность,известность,Синонимы,0
активный,деятельный,Синонимы,0
потенциальный,возможный,Синонимы,0
секретный,тайный,Синонимы,0
социальный,общественный,Синонимы,0
толерантность,терпимость,Синонимы,0
эксклюзивный,исключительный,Синонимы,0
абсолютный,совершенный,Синонимы,0
анализ,разбор,Синонимы,0
вариант,разновидность,Синонимы,0
гипотетический,предположительный,Синонимы,0
демонстрация,показ,Синонимы,0
диалог,беседа,Синонимы,0
дискомфорт,неудобство,Синонимы,0
интернациональный,международный,Синонимы,0
комфортабельный,удобный,Синонимы,0
максимальный,наибольший,Синонимы,0
натуральный,естественный,Синонимы,0
негативный,отрицательный,Синонимы,0
стабильность,устойчивость,Синонимы,0
фактический,действительный,Синонимы,0
